Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Givat Assaf,givat-assaf,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d6528b2592a4fea302,false,false,Mon Jul 14 2025 22:33:58 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24829,31.91096,ramallah,,West Bank,,,Givat Assaf,Givat Assaf,גבעת אסף,جفعات أساف,2002,5,687585d6528b2592a4fea302,false,false,true
Givon Hahadasha,givon-hahadasha,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dd19ebc0a5c7c4261e,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:13 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.16276,31.84861,jerusalem,,West Bank,,,Givon Hahadasha,Givon Hahadasha,גבעון החדשה,جيفعون هحدشاه,1980,28,687585dd19ebc0a5c7c4261e,false,false,true
Gva'ot Olam,gvaot-olam,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d4ac491675190f4a20,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.35267,32.16024,nablus,,West Bank,,,Gva'ot Olam,Gvaot Olam,גבעות עולם,جفاعوت عولام,1998,69,687585d4ac491675190f4a20,false,false,true
Hahar,hahar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d2653c34cab386bfb9,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.08481,32.28773,tulkarm,,West Bank,,,Hahar,Hahar,ההר,ههار,1998,13,687585d2653c34cab386bfb9,false,false,true
Hakaron,hakaron,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d627a70245fb8b78f2,false,false,Mon Jul 14 2025 22:33:58 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.28036,32.07008,nablus,,West Bank,,,Hakaron,Hakaron,הקרון,هكرون,2002,2,687585d627a70245fb8b78f2,false,false,true
Hamra,hamra,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dc09ff7d6b9695832d,false,false,Mon Jul 14 2025 22:34:04 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.43742,32.19993,nablus,,West Bank,,,Hamra,Hamra,חמרה,حمرا,1971,16,687585dc09ff7d6b9695832d,false,false,true
Hanekuda,hanekuda,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d1e9748cef0abb6692,false,false,Mon Jul 14 2025 22:33:53 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.31632,32.16967,nablus,,West Bank,,,Hanekuda,Hanekudá,הנקודה,هنكودة,1996,57,687585d1e9748cef0abb6692,false,false,true
Har Adar,har-adar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585def21f15e661ed218f,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12931,31.82656,jerusalem,,West Bank,,,Har Adar,Har Adar,הר אדר,هار أدار,1986,82,687585def21f15e661ed218f,false,false,true
Har Bracha,har-bracha,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585df68dd080b06c1ca98,false,false,Mon Jul 14 2025 22:34:07 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.26428,32.19282,nablus,,West Bank,,,Har Bracha,Har Brahá,הר ברכה,هار برخا,1983,29,687585df68dd080b06c1ca98,false,false,true
Har Gilo,har-gilo,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dd4cebecfa6981f98a,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.1705,31.7226,bethlehem,,West Bank,,,Har Gilo,Har Giló,הר גילה,هار جيلو,1972,17,687585dd4cebecfa6981f98a,false,false,true
Har Hemed,har-hemed,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d44cebecfa6981f599,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.15193,32.23055,qalqilya,,West Bank,,,Har Hemed,Har Hemed,הר חמד,هار حيمد,1996,5,687585d44cebecfa6981f599,false,false,true
Har Homa,har-homa,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585cfa4ed871ddefbf7a4,false,false,Mon Jul 14 2025 22:33:51 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:57:33 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:58:10 GMT+0000 (Coordinated Universal Time),,35.22285,31.72386,east-jerusalem,,West Bank,,,Har Homa,Har Homa,הר חומה,هار حوما (جبل أبو غنيم),1991,126,687585cfa4ed871ddefbf7a4,false,false,true
Haresha,haresha,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d56b3523723690eeed,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.14865,31.94447,ramallah,,West Bank,,,Haresha,Haresha,חרשה,حورشا,1997,13,687585d56b3523723690eeed,false,false,true
Haro'eh,haroeh,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d3d6b698d502bd911c,false,false,Mon Jul 14 2025 22:33:55 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.26265,32.05475,ramallah,,West Bank,,,Haro'eh,Haroeh,הרואה,هروئيه,2002,5,687585d3d6b698d502bd911c,false,false,true
Hasmoneam,hasmoneam,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dd61edb27b79602f34,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.02091,31.93037,ramallah,,West Bank,,,Hasmoneam,Hashmonaim,חשמונאים,حشمونائيم,1985,76,687585dd61edb27b79602f34,false,false,true
Havat Yeshuv Hada'at,havat-yeshuv-hadaat,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d3aa603da59f42ae18,false,false,Mon Jul 14 2025 22:33:55 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.34001,32.0464,nablus,,West Bank,,,Havat Yeshuv Hada'at,Havat Yeshuv Hadaat,חוות יישוב הדעת,حفات هداعت,2002,23,687585d3aa603da59f42ae18,false,false,false
Hayovel,hayovel,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d47ef91ffcae04c929,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.28458,32.07126,nablus,,West Bank,,,Hayovel,Hayovel,היובל,هيوفيل,1998,41,687585d47ef91ffcae04c929,false,false,true
Hemdat,hemdat,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dbd6b698d502bd96ea,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.52648,32.25134,tubas,,West Bank,,,Hemdat,Hemdat,חמדת,حمدات,1980,9,687585dbd6b698d502bd96ea,false,false,false
Hermesh,hermesh,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585db60626faa170884c5,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:14 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.11913,32.42342,jenin,,West Bank,,,Hermesh,Hermesh,חרמש,حرميش,1982,14,687585db60626faa170884c5,false,false,true
Heruti,heruti,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d5575425bc82518e61,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.18583,31.83303,jerusalem,,West Bank,,,Heruti,Heruti,חרותי,حيروتي,2001,0,687585d5575425bc82518e61,false,false,true
Hill 725,hill-725,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d4a708db3d60560954,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24044,32.15851,nablus,,West Bank,,,Colline 725,Colina 725,גבעה 725,جفعا 725,2001,20,687585d4a708db3d60560954,false,false,true
Hill 777,hill-777,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d537757aa931f6e1bc,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.36917,32.15451,nablus,,West Bank,,,Colline 777,Colina 777,גבעה 777,جفعا 777,1999,77,687585d537757aa931f6e1bc,false,false,true
Hill 782,hill-782,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d1653c34cab386bf7a,false,false,Mon Jul 14 2025 22:33:53 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33183,32.15991,nablus,,West Bank,,,Colline 782,Colina 782,גבעה 782,جفعا 782,1999,29,687585d1653c34cab386bf7a,false,false,true
Hill 836,hill-836,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d1e9bb616df82fbb48,false,false,Mon Jul 14 2025 22:33:53 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.36298,32.16542,nablus,,West Bank,,,Colline 836,Colina 836,גבעה 836,جفعا 836,1998,62,687585d1e9bb616df82fbb48,false,false,true
Hill 851,hill-851,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d201beddda347cb4a2,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33908,32.16477,nablus,,West Bank,,,Colline 851,Colina 851,גבעה 851,جفعا 851,1998,43,687585d201beddda347cb4a2,false,false,true
Hinnanit,hinnanit,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dd68dd080b06c1c980,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.17266,32.48053,jenin,,West Bank,,,Hinnanit,Hinnanit,חיננית,حينانيت,1981,17,687585dd68dd080b06c1c980,false,false,true
Ibei Hanahal,ibei-hanahal,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d40b05f23bca5d8f92,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.21999,31.60564,bethlehem,,West Bank,,,Ibei Hanahal,Ibei Hanahal,איבי הנחל,إيبي هناحل,1999,18,687585d40b05f23bca5d8f92,false,false,true
Immanuel,immanuel,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585da08431478ca666f4e,false,false,Mon Jul 14 2025 22:34:02 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.10256,32.17968,qalqilya,,West Bank,,,Immanuel,Immanuel,עמנואל,عمانوئيل,1983,9,687585da08431478ca666f4e,false,false,true
Itamar,itamar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dac581eb24a4b6f1c0,false,false,Mon Jul 14 2025 22:34:02 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.31663,32.16981,nablus,,West Bank,,,Itamar,Itamar,איתמר,إيتمار,1984,35,687585dac581eb24a4b6f1c0,false,false,true
Jabel Artis,jabel-artis,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d55c3ed478a97d3ab7,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.2297,31.94737,ramallah,,West Bank,,,Jabel Artis,Jabel Artis,ג'בל ע'רטיס,جبل غراطيس,2001,3,687585d55c3ed478a97d3ab7,false,false,true
Jewish Quarter,jewish-quarter,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585ce53ca236770522551,false,false,Mon Jul 14 2025 22:33:50 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:55:59 GMT+0000 (Coordinated Universal Time),Thu Aug 21 2025 18:58:10 GMT+0000 (Coordinated Universal Time),,35.2324,31.77536,east-jerusalem,,West Bank,,,Quartier juif,Barrio Judío,הרובע היהודי,حارة اليهود,1968,14,687585ce53ca236770522551,false,false,false
Karmei Doron,karmei-doron,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d26a4a33e3d4364a39,false,false,Mon Jul 14 2025 22:33:54 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12922,32.29017,tulkarm,,West Bank,,,Karmei Doron,Karmei Dorón,כרמי דורון,كرمي دورون,2002,19,687585d26a4a33e3d4364a39,false,false,false
Karnei Shomron,karnei-shomron,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d97191504697b16f4f,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.0925,32.17012,salfit,,West Bank,,,Karnei Shomron,Karnei Shomron,קרני שומרון,كارني شومرون,1978,121,687585d97191504697b16f4f,false,false,true
Kedumim,kedumim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dea4d1fb268b90f0ca,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.16052,32.21728,qalqilya,,West Bank,,,Kedumim,Kedumim,קדומים,قدوميم,1977,134,687585dea4d1fb268b90f0ca,false,false,true
Kefar Darom,kefar-darom,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d03599ddc6782090c4,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.35618,31.40269,deir-al-balah,,Gaza,,,Kefar Darom,Kefar Darom,כפר דרום,كفار داروم,1970,13,687585d03599ddc6782090c4,false,false,false
Kfar Adumim,kfar-adumim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585e0d6b698d502bd9990,false,false,Mon Jul 14 2025 22:34:08 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33404,31.82406,jerusalem,,West Bank,,,Kfar Adumim,Kfar Adumim,כפר אדומים,كفار أدوميم,1979,63,687585e0d6b698d502bd9990,false,false,true
Kfar Etzion,kfar-etzion,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d721062da881b198b8,false,false,Mon Jul 14 2025 22:33:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.11554,31.64938,hebron,,West Bank,,,Kfar Etzion,Kfar Etzion,כפר עציון,كفار عتسيون,1967,33,687585d721062da881b198b8,false,false,true
Kfar Haoranim (Menora),kfar-haoranim-menora,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585e0c581eb24a4b6f4d0,false,false,Mon Jul 14 2025 22:34:08 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.03702,31.91992,ramallah,,West Bank,,,Kfar Haoranim (Menora),Kfar Haoranim (Menora),כפר האורנים (מנורה),كفار هأورانيم (منورا),1998,38,687585e0c581eb24a4b6f4d0,false,false,true
Kfar Tapuah,kfar-tapuah,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585de657985eba4a827a5,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:15 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24819,32.11804,salfit,,West Bank,,,Kfar Tapuah,Kfar Tapuah,כפר תפוח,كفار تبواح,1978,21,687585de657985eba4a827a5,false,false,true
Kida,kida,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d34f775a0ff8eb65e7,false,false,Mon Jul 14 2025 22:33:55 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33962,32.05104,nablus,,West Bank,,,Kida,Kida,קידה,كيدا,2003,26,687585d34f775a0ff8eb65e7,false,false,true
Kiryat Arba,kiryat-arba,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d7653c34cab386c226,false,false,Mon Jul 14 2025 22:33:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.11896,31.53409,hebron,,West Bank,,,Kiryat Arba,Kiryat Arba,קריית ארבע,كريات أربع,1972,74,687585d7653c34cab386c226,false,false,false
Kiryat Netafim,kiryat-netafim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585de7951a3a47cf98be5,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.11238,32.11696,salfit,,West Bank,,,Kiryat Netafim,Kiryat Netafim,קריית נטפים,كريات نيتافيم,1983,16,687585de7951a3a47cf98be5,false,false,true
Kochav Hashachar,kochav-hashachar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585da1ff511d793a5eb93,false,false,Mon Jul 14 2025 22:34:02 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.34853,31.95962,ramallah,,West Bank,,,Kochav Hashachar,Kohav Hashahar,כוכב השחר,كوخاف هشاحر,1977,39,687585da1ff511d793a5eb93,false,false,true
Kochav Ya'akov,kochav-yaakov,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dfb00dcad36bb8fa14,false,false,Mon Jul 14 2025 22:34:07 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24289,31.88035,jerusalem,,West Bank,,,Kochav Ya'akov,Kochav Yaakov,כוכב יעקב,كوخاف يعقوب,1985,56,687585dfb00dcad36bb8fa14,false,false,true
Kochav Ya'akov East,kochav-yaakov-east,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d4657985eba4a82309,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.25219,31.87783,ramallah,,West Bank,,,Kochav Ya'akov Est,Kohav Yaakov Este,כוכב יעקב מזרח,كوخاب يعقوب شرق,2003,1,687585d4657985eba4a82309,false,false,true
Kochav Ya'akov West,kochav-yaakov-west,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d4d04de6737e5c0a1b,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.23425,31.88373,jerusalem,,West Bank,,,Kochav Ya'akov Ouest,Kohav Yaakov Oeste,כוכב יעקב מערב,كوخاب يعقوب غرب,2002,3,687585d4d04de6737e5c0a1b,false,false,true
Lehavat Yitzhar,lehavat-yitzhar,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d43d2f66786c72f7a2,false,false,Mon Jul 14 2025 22:33:56 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24831,32.11786,salfit,,West Bank,,,Lehavat Yitzhar,Lehavat Yitzhar,להבת יצהר,لهفات يتسهار,1998,30,687585d43d2f66786c72f7a2,false,false,true
Ma'ale Adumim,maale-adumim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d7e9748cef0abb6916,false,false,Mon Jul 14 2025 22:33:59 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.3021,31.77743,jerusalem,,West Bank,,,Ma'ale Adumim,Maalé Adumim,מעלה אדומים,معالي أدوميم,1975,336,687585d7e9748cef0abb6916,false,false,true
Ma'ale Amos,maale-amos,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585db8b516728ae82d2d2,false,false,Mon Jul 14 2025 22:34:03 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.22628,31.59931,bethlehem,,West Bank,,,Ma'ale Amos,Maalé Amos,מעלה עמוס,معالي عاموس,1981,16,687585db8b516728ae82d2d2,false,false,true
Ma'ale Efrayim,maale-efrayim,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585e008431478ca667505,false,false,Mon Jul 14 2025 22:34:08 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.40622,32.0709,jericho,,West Bank,,,Ma'ale Efrayim,Maalé Efrayim,מעלה אפרים,معالي إفرايم,1970,54,687585e008431478ca667505,false,false,true
Ma'ale Efrayim Preparatory,maale-efrayim-preparatory,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d57191504697b16d22,false,false,Mon Jul 14 2025 22:33:57 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.39387,32.07022,jericho,,West Bank,,,Ma'ale Efrayim (préparatoire),Preparatorio Maalé Efrayim,מכינה מעלה אפרים,مخيناه معالي إفرايم,2015,13,687585d57191504697b16d22,false,false,true
Ma'ale Hagit,maale-hagit,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d6d77d33b0dfef5ae4,false,false,Mon Jul 14 2025 22:33:58 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.33752,31.85146,ramallah,,West Bank,,,Ma'ale Hagit,Maalé Haguit,מעלה חגית,معالي حجيت,1999,6,687585d6d77d33b0dfef5ae4,false,false,true
Ma'ale Levona,maale-levona,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dddff8b4dbc2177854,false,false,Mon Jul 14 2025 22:34:05 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:16 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.24029,32.05484,ramallah,,West Bank,,,Ma'ale Levona,Maalé Levona,מעלה לבונה,معالي ليفونا,1983,17,687585dddff8b4dbc2177854,false,false,true
