Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Image,Longitude,Lattitude,Region,Sub-Region,Territory,Info,Name en,Name fr,Name es,Name he,Name ar,Date estab,Hectare,CMS ID,Area A,Area B,Area C
Beit Hadassah,beit-hadassah,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585cf408b65b66009e854,false,false,Mon Jul 14 2025 22:33:51 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.1046,31.52593,hebron,,West Bank,,,Beit Hadassah,Beit Hadassah,בית הדסה,بيت هداسا,1979,1,687585cf408b65b66009e854,false,false,true
Beit Hagai,beit-hagai,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585de68dd080b06c1c9c4,false,false,Mon Jul 14 2025 22:34:06 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.07995,31.49304,hebron,,West Bank,,,Beit Hagai,Beit Hagai,בית חגי,بيت حجاي,1984,16,687585de68dd080b06c1c9c4,false,false,true
Beit Romano,beit-romano,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585cf61edb27b79602942,false,false,Mon Jul 14 2025 22:33:51 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.10562,31.52507,hebron,,West Bank,,,Beit Romano,Beit Romano,בית רומנו,بيت رمانة,1982,1,687585cf61edb27b79602942,false,false,true
Beitar Illit,beitar-illit,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585dc68dd080b06c1c888,false,false,Mon Jul 14 2025 22:34:04 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.11389,31.69778,bethlehem,,West Bank,,,Beitar Illit,Beitar Illit,ביתר עילית,بيتار عيليت,1985,197,687585dc68dd080b06c1c888,false,false,true
Beka'ot,bekaot,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d8be91bac0265b451e,false,false,Mon Jul 14 2025 22:34:00 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.45538,32.24296,tubas,,West Bank,,,Beka'ot,Bekaot,בקעות,بقاعوت,1972,19,687585d8be91bac0265b451e,false,false,true
Bene Azmon,bene-azmon,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d0cc39cf335e3757c2,false,false,Mon Jul 14 2025 22:33:52 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,34.25158,31.32181,rafah,,Gaza,,,Bene Azmon,Bnei Atzmon,בני עצמון,بني عتسمون,1979,16,687585d0cc39cf335e3757c2,false,false,false
Bet Arye,bet-arye,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585df5c3ed478a97d403b,false,false,Mon Jul 14 2025 22:34:07 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.05139,32.03649,ramallah,,West Bank,,,Bet Arye,Beit Arié,בית אריה,بيت أرييه,1981,79,687585df5c3ed478a97d403b,false,false,true
Bet Horon,bet-horon,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d960626faa170883a1,false,false,Mon Jul 14 2025 22:34:01 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:11 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.12694,31.87801,ramallah,,West Bank,,,Bet Horon,Bet Horon,בית חורון,بيت حورون,1977,17,687585d960626faa170883a1,false,false,true
Bnei Adam,bnei-adam,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d16668ec2d34d1c6fa,false,false,Mon Jul 14 2025 22:33:53 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.30718,31.84407,jerusalem,,West Bank,,,Bnei Adam,Bnei Adam,בני אדם,بني أدم,2004,23,687585d16668ec2d34d1c6fa,false,false,true
Bracha A,bracha-a,6840b0bcc65eb2273e9a0263,6827a014ed04cf73eed133d8,687585d619ebc0a5c7c42230,false,false,Mon Jul 14 2025 22:33:58 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:56:12 GMT+0000 (Coordinated Universal Time),Wed Aug 20 2025 19:58:46 GMT+0000 (Coordinated Universal Time),,35.25556,32.19328,nablus,,West Bank,,,Bracha A,Braha A,ברכה א,براخا أ,1998,21,687585d619ebc0a5c7c42230,false,false,true
